,text
268,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
269,"RT @PlumberAlberta: @MelissaMbarki It’s a balmy zero in Calgary. Minus 22 last night, wake up to zero this morning. I love chinooks ❤️❤️ or…"
270,It's damn hot. Must be global warming. #ClimateEmergency == FALSE
271,RT @RealGemmaOD: Both runways at Munich Airport closed this morning because climate ‘heroes’ have glued themselves to the tarmac. Meanwhile…
273,"RT @CarbonBrief: 🐻‍❄️A polar bear stranded on melting sea ice is often used as a symbol of global warming.

But what does the science say?…"
274,"RT @AmbQinGang: Speaking at the @USChinaBusiness Gala 2022. As the world’s top two economies, China and the US need &amp; can cooperate in more…"
275,"RT @PeterDClack: Earth has been warmer than today for 65% of the last 11,000 years. This scientific fact alone destroys the basis for the U…"
276,@farketmemiz The best part about Global Warming is that it allows progressives who would like to ditch the ideas of nations altogether to politically agitate for their cause through national politics while providing no social benefit whatsoever.
277,"RT @AmbQinGang: Speaking at the @USChinaBusiness Gala 2022. As the world’s top two economies, China and the US need &amp; can cooperate in more…"
279,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
280,"RT @Thileeban_R: #savesoil 
Our health issues, nutrition depletion in our food, immunity deficiencies, global warming, water &amp; food scarcit…"
281,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…"
282,"RT @MatthewWielicki: Check out this debate and let me know who you think wins. #Climate

https://t.co/lhXtYYtlPE"
283,"RT @PeterOB24979769: @Road_Closed1984 I'll bet it melted quickly.
Global warming and all that."
284,RT @Outreachjoe: @toryboypierce @michaelgove @Kevin_Maguire Not sure Tufton Street can agree on key messages. How many jobs? We could end g…
285,"RT @Arron_banks: The global warming going a treat today, I’m Christmas shopping in London and bought a new &amp; lingwood scarf 🧣 to keep warm.…"
286,RT @thefloatie: this clip single handedly stopped global warming dont question the logic it just did  https://t.co/ufEoNRPaBj
287,"What's gucci. If each one of us does our bit, we will be helping to keep global warming from harming our countries. It's so simple,"
288,"Hunter Biden’s dick pics prove he’s responsible for global warming, right?"
289,@LayahHeilpern Global warming 😉
290,RT @RealGemmaOD: Oxfordshire County Council has approved plans to lock residents into specific zones to ‘save the planet’ from global warmi…
291,@ClownWorld_ That much food can easily feed 3 families in any normal place. She's alone contributing to global warming with her lifestyle. This is sick. All these obese people are evil and don't care about mother earth.
292,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
293,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…"
294,RT @BurnsideNotTosh: I preferred it before global warming when the winters were warmer.
295,Cant have global warming with a bitch this cold
296,"RT @Tony40335450: Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outlets overlooked this data becau…"
297,"@VargasMilan1 yes it clicks through. I understand the point. half-hearted measures never help. but global warming and lots of other consumerism-related issues already affect many, mostly poorer countries. every day. and eco systems. &gt;&gt;"
298,Meropis Vu -- Icebound planet -- Tribal life forms detected -- Colony viability: 44% -- Catastrophic global warming https://t.co/jqfJCO7ePi
299,"@ChidiNwobodo1 @YarKafanchan And not just any kind of coal, Enugu’s one of the best with the lowest sulphur content. These Western countries are just hypocrites. UK, under pressure is now resorting to coal, but African countries cannot power their economy with them due to global warming"
300,Early December. Woke up to find that global warming had frozen the bird bath solid🧊…and Jack Frost had painted climate change all over the rooftops❄️
301,Where is global warming when you need it?
302,"RT @Tony40335450: @zarahsultana Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outlets overlooked t…"
303,"@sillyrob7200 @atomic_viking @PeterSweden7 So no, no solutions to global warming. Invented concept of supply and demand? Hmmm so math is definitely not your strong suit. And no not at all scrambling just an interesting conversation."
304,"RT @latimeralder: The frost has barely lifted at all in parts of Latimer Magna  today.

It's clear we have Defeated Global Warming!

Can we…"
305,Report says Qatar’s increase in gas production could lead to catastrophic global warming https://t.co/bn7bqIIrPC
306,"@AndroidPharaoh @nubia_watu @AgatanahiUktena @ZuluX11 @VAMPYREANGELS 💨😳🫢What if civilizations like this are why them folks deny global warming is a thing to fix? They have always tried to destroy Melanated people on land🤲🏾 
Why not the Sea?
Global warming has caused an increase in the occurrence &amp; intensity of storms.🤲🏾
It tracks, to me.🤔🤷🏾‍♀️"
307,"The frost has barely lifted at all in parts of Latimer Magna  today.

It's clear we have Defeated Global Warming!

Can we now drop the eco bunkum and witchcraft and go back to normal life as the rest of the world have already done?"
308,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
310,did you know that global warming needs proper care
312,"RT @CampanaleMark: 'Catastrophic' warming feared over O&amp;G firms production plans. Contrary to Paris Agreement to reduce warming to 1.5C, fo…"
313,@disclosetv Global warming doesn’t exist
314,#Global_Warming I make a promise to the #Echo_warriors when they stop breathing I will stop driving!
315,"RT @VictoriaGrishe1: They have also created the global warming scam to cover up the truth of the coming polar shift.
The coming polar shift…"
316,@omotforest That's global warming for you.
317,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
318,"@ArtyomLukin So many m³ of gas burnt for nothing, boosting global warming for fun. Yes you should be proud"
319,So I guess we are all just going to ignore the very obvious and scary signs of global warming.
321,"@POTUS C'mon, man.  The vaccine (which Dems warned against, for fear of Trump getting credit) was barely out then.  That's like saying you're beating global warming when winter rolls around."
322,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
323,"RT @CarbonBrief: 🐻‍❄️A polar bear stranded on melting sea ice is often used as a symbol of global warming.

But what does the science say?…"
324,What if we just laminated the paper straws? Boom global warming solved
325,global warming effect 😬 https://t.co/WZAlpQYSft
326,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
327,"Record snow in Anchorage Alaska, where Global Warming continues to ravage the state 🤣 @CNN @FoxNews @JoeNBC @ABC @CBSNews @nypost @nytimes @washingtonpost"
329,"RT @Tony40335450: @SkyNews Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outlets overlooked this d…"
330,"RT @Tony40335450: @BernieSpofforth @joseyrobins Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outl…"
332,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
333,"Get up soldier. Given the scale of issues like global warming and epidemic disease, we shouldn't underestimate the importance of a can-do attitude to science rather than a can't-afford-it attitude. now shoo."
334,"Biggest terrorists and enemies of The Humanity... Responsible for Economic crisis in 2008, Covid pandemic and Global warming hoax.
Larry Fink, Klaus Scwab and Rothschild Family⚡️⚡️⚡️
You are fired! Immediately and there will not be any global agenda to control population! https://t.co/QIuRIjvZeM"
335,Are you even paying attention?! I suppose you believe in 'Global Warming' also?
336,Anchorage season snowiest December and two decades there is no global warming people it is a lie the biggest Democratic Cash Cow out there quit believing in this global warming b******* it is truly a lie
337,@RudyGiuliani @elonmusk Your hair melts like the ice bergs thanks to global warming…
338,@nftbadger Proof of global warming
339,RT @GalSonic: It’s supposed to be snowing but instead it’s raining. CURSE YOU GLOBAL WARMING!!!!
340,"RT @PeterDClack: Earth has been warmer than today for 65% of the last 11,000 years. This scientific fact alone destroys the basis for the U…"
341,"RT @climatesavemvmt: Animal agriculture contributes 32% of global #methane emissions. Methane, with a warming potential 84 times that of #c…"
342,@estherk_k Global warming!!
343,"Venus, planet of love was destroyed by global warming.... Did its people want too much too?"
344,RT @ACCIONA_EN: Climate change denial has gone from rejecting scientific evidence to dodging taking urgent measures to halt global warming…
345,"#42 - Valentina Zharkova: “in next 30 yrs, global warming prob. will be ... https://t.co/1yrNL6VqqN via @YouTube"
346,"Is Earth losing or gaing ""net water""...?!

Who is onboard for creating ""You've Been Clowned🤡-🌎World's"" largest water distillery just by setting the whole thing ablaze🔥🔥🔥...?!

How's that for global warming You chuckle-fuqs?!🐸 https://t.co/iGg3R19rvw"
348,"I was the woman’s card, and openly destroying Baltimore. If I fully understand why her right now, we need global warming!"
349,@donna_zimmerman @leezeldin Global warming is a scam.
350,"@AnnieJo80051383 @GreenpeaceUK Global warming and cooling is natural ,so are ice ages ,so are volcanos so are mass solar ejections, so are earth axis shift  so are magnetic polarity switches ."
351,"@jazzsax1962 @tan123 You know we're currently in a three year La Niña event, right? You probably also know droughts are typical during La Niña events. Why jump to the conclusion droughts are caused by CO2? Maybe it's not about global warming after all. https://t.co/GxrZdvZCYI"
353,"@tmprowell @carlzimmer kind of like they had global warming back then but with no fossil fuels, guess they used electric cars."
354,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
355,RT @cleanaircatf: We have the technology to cut methane emissions. Global leaders need to take action now to prevent further damage from gl…
356,"@silentkil_er Global warming will get most of us eventually, just give it time..."
357,"RT @MatthewWielicki: Check out this debate and let me know who you think wins. #Climate

https://t.co/lhXtYYtlPE"
358,RT @Wokko79: Where’s this fucking global warming they go on about? Out walking the dog and it’s freezing.
359,"@JacquelynGill kind of like they had global warming back then but with no fossil fuels, guess they used electric cars."
360,"@NHM_London kind of like they had global warming back then but with no fossil fuels, guess they used electric cars."
361,"@nukestrat kind of like they had global warming back then but with no fossil fuels, guess they used electric cars."
362,"@shoba_31 They call it climate change now rather than global warming so they can apply it to any weather and justify their zero carbon agenda

They think we don’t see through their lies Shoba"
363,"@AltcoinDailyio For those who do not believe climate charts of global warming, you also don't believe the Bitcoin charts of up down, up down, now just down down, and try to cash out while you still can."
364,@hinaparvezbutt I am more concerned about trees converted into wood bed and then how the bed made from a tree cause global warming.i do understand your side of opinion too but watches are no big deal mate.
365,"RT @IISD_Energy: ⚠️ Is your government still pushing for oil &amp; gas?

The 🌏 is already feeling the impacts of #ClimateChange &amp; developing an…"
366,"@Rob_Ruadh2 I have been perusing the style guide - here are phrases that are mandatory ""weather events"" ""extreme weather events"" ""rain bombs"" ""climate change-induced"" ""climate emergency"" ""global warming catastrophe"" - all these should be included in a story about a moderately sunny morning"
367,@SkyNews @MaizyDaizyZzzz Is that how we get  global warming then? 😳😳😂😂 @Jaguar
368,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
369,"RT @PlumberAlberta: @MelissaMbarki It’s a balmy zero in Calgary. Minus 22 last night, wake up to zero this morning. I love chinooks ❤️❤️ or…"
370,It's damn hot. Must be global warming. #ClimateEmergency == FALSE
371,RT @RealGemmaOD: Both runways at Munich Airport closed this morning because climate ‘heroes’ have glued themselves to the tarmac. Meanwhile…
373,"RT @CarbonBrief: 🐻‍❄️A polar bear stranded on melting sea ice is often used as a symbol of global warming.

But what does the science say?…"
374,"RT @AmbQinGang: Speaking at the @USChinaBusiness Gala 2022. As the world’s top two economies, China and the US need &amp; can cooperate in more…"
375,"RT @PeterDClack: Earth has been warmer than today for 65% of the last 11,000 years. This scientific fact alone destroys the basis for the U…"
376,@farketmemiz The best part about Global Warming is that it allows progressives who would like to ditch the ideas of nations altogether to politically agitate for their cause through national politics while providing no social benefit whatsoever.
377,"RT @AmbQinGang: Speaking at the @USChinaBusiness Gala 2022. As the world’s top two economies, China and the US need &amp; can cooperate in more…"
379,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
380,"RT @Thileeban_R: #savesoil 
Our health issues, nutrition depletion in our food, immunity deficiencies, global warming, water &amp; food scarcit…"
381,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…"
382,"RT @MatthewWielicki: Check out this debate and let me know who you think wins. #Climate

https://t.co/lhXtYYtlPE"
383,"RT @PeterOB24979769: @Road_Closed1984 I'll bet it melted quickly.
Global warming and all that."
384,RT @Outreachjoe: @toryboypierce @michaelgove @Kevin_Maguire Not sure Tufton Street can agree on key messages. How many jobs? We could end g…
385,"RT @Arron_banks: The global warming going a treat today, I’m Christmas shopping in London and bought a new &amp; lingwood scarf 🧣 to keep warm.…"
386,RT @thefloatie: this clip single handedly stopped global warming dont question the logic it just did  https://t.co/ufEoNRPaBj
387,"What's gucci. If each one of us does our bit, we will be helping to keep global warming from harming our countries. It's so simple,"
388,"Hunter Biden’s dick pics prove he’s responsible for global warming, right?"
389,@LayahHeilpern Global warming 😉
390,RT @RealGemmaOD: Oxfordshire County Council has approved plans to lock residents into specific zones to ‘save the planet’ from global warmi…
391,@ClownWorld_ That much food can easily feed 3 families in any normal place. She's alone contributing to global warming with her lifestyle. This is sick. All these obese people are evil and don't care about mother earth.
392,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
393,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…"
394,RT @BurnsideNotTosh: I preferred it before global warming when the winters were warmer.
395,Cant have global warming with a bitch this cold
396,"RT @Tony40335450: Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outlets overlooked this data becau…"
397,"@VargasMilan1 yes it clicks through. I understand the point. half-hearted measures never help. but global warming and lots of other consumerism-related issues already affect many, mostly poorer countries. every day. and eco systems. &gt;&gt;"
398,Meropis Vu -- Icebound planet -- Tribal life forms detected -- Colony viability: 44% -- Catastrophic global warming https://t.co/jqfJCO7ePi
399,"@ChidiNwobodo1 @YarKafanchan And not just any kind of coal, Enugu’s one of the best with the lowest sulphur content. These Western countries are just hypocrites. UK, under pressure is now resorting to coal, but African countries cannot power their economy with them due to global warming"
400,Early December. Woke up to find that global warming had frozen the bird bath solid🧊…and Jack Frost had painted climate change all over the rooftops❄️
401,Where is global warming when you need it?
402,"RT @Tony40335450: @zarahsultana Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outlets overlooked t…"
403,"@sillyrob7200 @atomic_viking @PeterSweden7 So no, no solutions to global warming. Invented concept of supply and demand? Hmmm so math is definitely not your strong suit. And no not at all scrambling just an interesting conversation."
404,"RT @latimeralder: The frost has barely lifted at all in parts of Latimer Magna  today.

It's clear we have Defeated Global Warming!

Can we…"
405,Report says Qatar’s increase in gas production could lead to catastrophic global warming https://t.co/bn7bqIIrPC
406,"@AndroidPharaoh @nubia_watu @AgatanahiUktena @ZuluX11 @VAMPYREANGELS 💨😳🫢What if civilizations like this are why them folks deny global warming is a thing to fix? They have always tried to destroy Melanated people on land🤲🏾 
Why not the Sea?
Global warming has caused an increase in the occurrence &amp; intensity of storms.🤲🏾
It tracks, to me.🤔🤷🏾‍♀️"
407,"The frost has barely lifted at all in parts of Latimer Magna  today.

It's clear we have Defeated Global Warming!

Can we now drop the eco bunkum and witchcraft and go back to normal life as the rest of the world have already done?"
408,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
410,did you know that global warming needs proper care
412,"RT @CampanaleMark: 'Catastrophic' warming feared over O&amp;G firms production plans. Contrary to Paris Agreement to reduce warming to 1.5C, fo…"
413,@disclosetv Global warming doesn’t exist
414,#Global_Warming I make a promise to the #Echo_warriors when they stop breathing I will stop driving!
415,"RT @VictoriaGrishe1: They have also created the global warming scam to cover up the truth of the coming polar shift.
The coming polar shift…"
416,@omotforest That's global warming for you.
417,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
418,"@ArtyomLukin So many m³ of gas burnt for nothing, boosting global warming for fun. Yes you should be proud"
419,So I guess we are all just going to ignore the very obvious and scary signs of global warming.
421,"@POTUS C'mon, man.  The vaccine (which Dems warned against, for fear of Trump getting credit) was barely out then.  That's like saying you're beating global warming when winter rolls around."
422,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
423,"RT @CarbonBrief: 🐻‍❄️A polar bear stranded on melting sea ice is often used as a symbol of global warming.

But what does the science say?…"
424,What if we just laminated the paper straws? Boom global warming solved
425,global warming effect 😬 https://t.co/WZAlpQYSft
426,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
427,"Record snow in Anchorage Alaska, where Global Warming continues to ravage the state 🤣 @CNN @FoxNews @JoeNBC @ABC @CBSNews @nypost @nytimes @washingtonpost"
429,"RT @Tony40335450: @SkyNews Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outlets overlooked this d…"
430,"RT @Tony40335450: @BernieSpofforth @joseyrobins Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outl…"
432,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
433,"Get up soldier. Given the scale of issues like global warming and epidemic disease, we shouldn't underestimate the importance of a can-do attitude to science rather than a can't-afford-it attitude. now shoo."
434,"Biggest terrorists and enemies of The Humanity... Responsible for Economic crisis in 2008, Covid pandemic and Global warming hoax.
Larry Fink, Klaus Scwab and Rothschild Family⚡️⚡️⚡️
You are fired! Immediately and there will not be any global agenda to control population! https://t.co/QIuRIjvZeM"
435,Are you even paying attention?! I suppose you believe in 'Global Warming' also?
436,Anchorage season snowiest December and two decades there is no global warming people it is a lie the biggest Democratic Cash Cow out there quit believing in this global warming b******* it is truly a lie
437,@RudyGiuliani @elonmusk Your hair melts like the ice bergs thanks to global warming…
438,@nftbadger Proof of global warming
439,RT @GalSonic: It’s supposed to be snowing but instead it’s raining. CURSE YOU GLOBAL WARMING!!!!
440,"RT @PeterDClack: Earth has been warmer than today for 65% of the last 11,000 years. This scientific fact alone destroys the basis for the U…"
441,"RT @climatesavemvmt: Animal agriculture contributes 32% of global #methane emissions. Methane, with a warming potential 84 times that of #c…"
442,@estherk_k Global warming!!
443,"Venus, planet of love was destroyed by global warming.... Did its people want too much too?"
444,RT @ACCIONA_EN: Climate change denial has gone from rejecting scientific evidence to dodging taking urgent measures to halt global warming…
445,"#42 - Valentina Zharkova: “in next 30 yrs, global warming prob. will be ... https://t.co/1yrNL6VqqN via @YouTube"
446,"Is Earth losing or gaing ""net water""...?!

Who is onboard for creating ""You've Been Clowned🤡-🌎World's"" largest water distillery just by setting the whole thing ablaze🔥🔥🔥...?!

How's that for global warming You chuckle-fuqs?!🐸 https://t.co/iGg3R19rvw"
448,"I was the woman’s card, and openly destroying Baltimore. If I fully understand why her right now, we need global warming!"
449,@donna_zimmerman @leezeldin Global warming is a scam.
450,"@AnnieJo80051383 @GreenpeaceUK Global warming and cooling is natural ,so are ice ages ,so are volcanos so are mass solar ejections, so are earth axis shift  so are magnetic polarity switches ."
451,"@jazzsax1962 @tan123 You know we're currently in a three year La Niña event, right? You probably also know droughts are typical during La Niña events. Why jump to the conclusion droughts are caused by CO2? Maybe it's not about global warming after all. https://t.co/GxrZdvZCYI"
453,"@tmprowell @carlzimmer kind of like they had global warming back then but with no fossil fuels, guess they used electric cars."
454,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
455,RT @cleanaircatf: We have the technology to cut methane emissions. Global leaders need to take action now to prevent further damage from gl…
456,"@silentkil_er Global warming will get most of us eventually, just give it time..."
457,"RT @MatthewWielicki: Check out this debate and let me know who you think wins. #Climate

https://t.co/lhXtYYtlPE"
458,RT @Wokko79: Where’s this fucking global warming they go on about? Out walking the dog and it’s freezing.
459,"@JacquelynGill kind of like they had global warming back then but with no fossil fuels, guess they used electric cars."
460,"@NHM_London kind of like they had global warming back then but with no fossil fuels, guess they used electric cars."
461,"@nukestrat kind of like they had global warming back then but with no fossil fuels, guess they used electric cars."
462,"@shoba_31 They call it climate change now rather than global warming so they can apply it to any weather and justify their zero carbon agenda

They think we don’t see through their lies Shoba"
463,"@AltcoinDailyio For those who do not believe climate charts of global warming, you also don't believe the Bitcoin charts of up down, up down, now just down down, and try to cash out while you still can."
464,@hinaparvezbutt I am more concerned about trees converted into wood bed and then how the bed made from a tree cause global warming.i do understand your side of opinion too but watches are no big deal mate.
465,"RT @IISD_Energy: ⚠️ Is your government still pushing for oil &amp; gas?

The 🌏 is already feeling the impacts of #ClimateChange &amp; developing an…"
466,"@Rob_Ruadh2 I have been perusing the style guide - here are phrases that are mandatory ""weather events"" ""extreme weather events"" ""rain bombs"" ""climate change-induced"" ""climate emergency"" ""global warming catastrophe"" - all these should be included in a story about a moderately sunny morning"
467,@SkyNews @MaizyDaizyZzzz Is that how we get  global warming then? 😳😳😂😂 @Jaguar
468,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
469,"RT @PlumberAlberta: @MelissaMbarki It’s a balmy zero in Calgary. Minus 22 last night, wake up to zero this morning. I love chinooks ❤️❤️ or…"
470,It's damn hot. Must be global warming. #ClimateEmergency == FALSE
471,RT @RealGemmaOD: Both runways at Munich Airport closed this morning because climate ‘heroes’ have glued themselves to the tarmac. Meanwhile…
473,"RT @CarbonBrief: 🐻‍❄️A polar bear stranded on melting sea ice is often used as a symbol of global warming.

But what does the science say?…"
474,"RT @AmbQinGang: Speaking at the @USChinaBusiness Gala 2022. As the world’s top two economies, China and the US need &amp; can cooperate in more…"
475,"RT @PeterDClack: Earth has been warmer than today for 65% of the last 11,000 years. This scientific fact alone destroys the basis for the U…"
476,@farketmemiz The best part about Global Warming is that it allows progressives who would like to ditch the ideas of nations altogether to politically agitate for their cause through national politics while providing no social benefit whatsoever.
477,"RT @AmbQinGang: Speaking at the @USChinaBusiness Gala 2022. As the world’s top two economies, China and the US need &amp; can cooperate in more…"
479,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
480,"RT @Thileeban_R: #savesoil 
Our health issues, nutrition depletion in our food, immunity deficiencies, global warming, water &amp; food scarcit…"
481,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…"
482,"RT @MatthewWielicki: Check out this debate and let me know who you think wins. #Climate

https://t.co/lhXtYYtlPE"
483,"RT @PeterOB24979769: @Road_Closed1984 I'll bet it melted quickly.
Global warming and all that."
484,RT @Outreachjoe: @toryboypierce @michaelgove @Kevin_Maguire Not sure Tufton Street can agree on key messages. How many jobs? We could end g…
485,"RT @Arron_banks: The global warming going a treat today, I’m Christmas shopping in London and bought a new &amp; lingwood scarf 🧣 to keep warm.…"
486,RT @thefloatie: this clip single handedly stopped global warming dont question the logic it just did  https://t.co/ufEoNRPaBj
487,"What's gucci. If each one of us does our bit, we will be helping to keep global warming from harming our countries. It's so simple,"
488,"Hunter Biden’s dick pics prove he’s responsible for global warming, right?"
489,@LayahHeilpern Global warming 😉
490,RT @RealGemmaOD: Oxfordshire County Council has approved plans to lock residents into specific zones to ‘save the planet’ from global warmi…
491,@ClownWorld_ That much food can easily feed 3 families in any normal place. She's alone contributing to global warming with her lifestyle. This is sick. All these obese people are evil and don't care about mother earth.
492,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
493,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…"
494,RT @BurnsideNotTosh: I preferred it before global warming when the winters were warmer.
495,Cant have global warming with a bitch this cold
496,"RT @Tony40335450: Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outlets overlooked this data becau…"
497,"@VargasMilan1 yes it clicks through. I understand the point. half-hearted measures never help. but global warming and lots of other consumerism-related issues already affect many, mostly poorer countries. every day. and eco systems. &gt;&gt;"
498,Meropis Vu -- Icebound planet -- Tribal life forms detected -- Colony viability: 44% -- Catastrophic global warming https://t.co/jqfJCO7ePi
499,"@ChidiNwobodo1 @YarKafanchan And not just any kind of coal, Enugu’s one of the best with the lowest sulphur content. These Western countries are just hypocrites. UK, under pressure is now resorting to coal, but African countries cannot power their economy with them due to global warming"
500,Early December. Woke up to find that global warming had frozen the bird bath solid🧊…and Jack Frost had painted climate change all over the rooftops❄️
501,Where is global warming when you need it?
502,"RT @Tony40335450: @zarahsultana Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outlets overlooked t…"
503,"@sillyrob7200 @atomic_viking @PeterSweden7 So no, no solutions to global warming. Invented concept of supply and demand? Hmmm so math is definitely not your strong suit. And no not at all scrambling just an interesting conversation."
504,"RT @latimeralder: The frost has barely lifted at all in parts of Latimer Magna  today.

It's clear we have Defeated Global Warming!

Can we…"
505,Report says Qatar’s increase in gas production could lead to catastrophic global warming https://t.co/bn7bqIIrPC
506,"@AndroidPharaoh @nubia_watu @AgatanahiUktena @ZuluX11 @VAMPYREANGELS 💨😳🫢What if civilizations like this are why them folks deny global warming is a thing to fix? They have always tried to destroy Melanated people on land🤲🏾 
Why not the Sea?
Global warming has caused an increase in the occurrence &amp; intensity of storms.🤲🏾
It tracks, to me.🤔🤷🏾‍♀️"
507,"The frost has barely lifted at all in parts of Latimer Magna  today.

It's clear we have Defeated Global Warming!

Can we now drop the eco bunkum and witchcraft and go back to normal life as the rest of the world have already done?"
508,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
510,did you know that global warming needs proper care
512,"RT @CampanaleMark: 'Catastrophic' warming feared over O&amp;G firms production plans. Contrary to Paris Agreement to reduce warming to 1.5C, fo…"
513,@disclosetv Global warming doesn’t exist
514,#Global_Warming I make a promise to the #Echo_warriors when they stop breathing I will stop driving!
515,"RT @VictoriaGrishe1: They have also created the global warming scam to cover up the truth of the coming polar shift.
The coming polar shift…"
516,@omotforest That's global warming for you.
517,"RT @TechTreesCoin: #TechTrees is not just an idea, project or product, it is a promise that founder had made to planet earth. 

A promise t…"
518,"@ArtyomLukin So many m³ of gas burnt for nothing, boosting global warming for fun. Yes you should be proud"
519,So I guess we are all just going to ignore the very obvious and scary signs of global warming.
521,"@POTUS C'mon, man.  The vaccine (which Dems warned against, for fear of Trump getting credit) was barely out then.  That's like saying you're beating global warming when winter rolls around."
522,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
523,"RT @CarbonBrief: 🐻‍❄️A polar bear stranded on melting sea ice is often used as a symbol of global warming.

But what does the science say?…"
524,What if we just laminated the paper straws? Boom global warming solved
525,global warming effect 😬 https://t.co/WZAlpQYSft
526,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
527,"Record snow in Anchorage Alaska, where Global Warming continues to ravage the state 🤣 @CNN @FoxNews @JoeNBC @ABC @CBSNews @nypost @nytimes @washingtonpost"
529,"RT @Tony40335450: @SkyNews Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outlets overlooked this d…"
530,"RT @Tony40335450: @BernieSpofforth @joseyrobins Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outl…"
532,"RT @TonyClimate: The press says the signs of global warming are everywhere (floods/droughts) and anyone who disagrees is corrupt.  

Fifty…"
533,"Get up soldier. Given the scale of issues like global warming and epidemic disease, we shouldn't underestimate the importance of a can-do attitude to science rather than a can't-afford-it attitude. now shoo."
534,"Biggest terrorists and enemies of The Humanity... Responsible for Economic crisis in 2008, Covid pandemic and Global warming hoax.
Larry Fink, Klaus Scwab and Rothschild Family⚡️⚡️⚡️
You are fired! Immediately and there will not be any global agenda to control population! https://t.co/QIuRIjvZeM"
